id,originX,originY,destX,destY,lambda,Pw,Lw,ew
721,136,8,60,61,0.2,0.997774,126.552,103.383
722,84,162,73,114,0.2,0.984152,58.4807,52.4954
723,136,128,71,63,0.2,0.999946,126.473,83.5869
724,39,108,106,101,0.2,0.994511,72.6559,65.4586
725,66,92,79,117,0.2,0.842226,37.7816,25.8394
726,154,153,73,94,0.2,1,138.257,87.6045
727,129,125,69,79,0.2,0.999869,104.404,71.8095
728,32,54,78,72,0.2,0.999677,62.536,59.015
729,92,153,110,118,0.2,0.990848,51.7703,41.8018
730,82,144,63,88,0.2,0.830952,74.0089,49.5688
731,84,108,107,64,0.2,0.972111,66.4762,40.4231
732,160,2,114,74,0.2,0.999992,113.407,108.819
733,18,48,106,70,0.2,0.999997,108.331,101.132
734,88,127,69,98,0.2,0.991169,48.1574,32.1482
735,124,17,70,74,0.2,0.999863,108.372,92.8602
736,41,97,89,110,0.2,0.955892,60.6197,48.4478
737,147,14,112,65,0.2,0.999979,82.4973,80.0217
738,131,178,119,93,0.2,0.999509,95.7179,82.8338
739,154,61,99,103,0.2,0.999549,95.8357,78.0467
740,29,44,116,81,0.2,1,121.18,102.495
741,157,129,113,114,0.2,0.998776,58.0858,52.6901
742,37,58,75,73,0.2,0.99519,51.9621,46.8886
743,122,118,82,113,0.2,0.889416,45.2159,33.8172
744,110,150,71,117,0.2,0.993712,70.7248,49.3011
745,167,163,105,117,0.2,0.999994,106.264,86.7116
746,26,119,120,62,0.2,0.999938,145.527,105.872
747,69,119,114,115,0.2,0.751652,48.0967,31.5382
748,143,55,67,76,0.2,0.998712,94.1949,75.464
749,92,84,109,68,0.2,0.734783,32.4172,19.466
750,25,88,90,97,0.2,0.969135,72.5544,61.3129
751,106,163,62,116,0.2,0.996971,89.2222,76.2688
752,97,171,101,85,0.2,0.995946,89.4661,73.3096
753,168,121,82,120,0.2,0.990899,85.8656,73.8895
754,163,152,94,106,0.2,0.999859,111.867,101.453
755,134,153,93,109,0.2,0.999576,82.935,73.0365
756,29,52,90,87,0.2,0.999992,94.2152,83.8631
757,150,1,84,71,0.2,0.997495,133.308,119.911
758,22,85,84,102,0.2,0.969194,77.7737,64.0945
759,11,50,85,111,0.2,1,132.313,121.767
760,14,146,82,81,0.2,0.993293,128.579,110.52
761,32,2,63,80,0.2,0.999968,106.999,102.53
762,53,58,71,68,0.2,0.946707,28.521,23.0797
763,42,16,82,77,0.2,0.999986,99.3973,94.2862
764,50,121,61,118,0.2,0.931692,14.0136,11.1981
765,174,79,112,110,0.2,0.970296,90.3481,66.2567
766,129,22,107,118,0.2,0.998638,115.065,95.3388
767,101,47,95,63,0.2,0.789233,22.1066,14.9222
768,174,122,66,82,0.2,0.999998,143.251,119.933
769,121,96,65,107,0.2,0.86602,66.4977,40.2346
770,131,122,89,60,0.2,0.997996,101.39,62.2351
771,169,130,71,120,0.2,0.999886,106.011,78.3815
772,67,45,93,120,0.2,0.985544,100.125,72.9716
773,175,79,113,92,0.2,0.972977,73.5065,61.9816
774,101,70,75,96,0.2,0.939783,51.478,33.6101
775,139,22,80,110,0.2,0.999959,142.151,104.275
776,115,121,97,75,0.2,0.971973,63.6795,46.3644
777,19,57,86,63,0.2,0.997626,71.2345,64.4086
778,120,51,84,91,0.2,0.996265,74.6605,63.6589
